start_frame,n_points,success,message,A,A_err,t_0,t_0_err,tau,tau_err,C,C_err,rss
148,7,True,ok,2030.7140137020644,62.3697474492261,149.0,0.0,2.341494397782991,0.12957501359576443,58.0,0.0,31113.898689857102
148,8,True,ok,2035.0355407199843,60.85980243632971,149.0,0.0,2.319306318454239,0.12259562585228165,58.0,0.0,30696.634966521076
148,9,True,ok,2038.4020970067443,60.17902217215016,149.0,0.0,2.3029650096406407,0.11902941860567016,58.0,0.0,30604.56132750581
149,2,True,ok,1445.0,inf,150.0,0.0,2.007153467212601,inf,58.0,0.0,2966.1081308704775
149,3,True,ok,1444.9270353526374,0.3108885246219491,150.0,0.0,2.0084592417156513,0.0011132442016661456,58.0,0.0,2975.41092972271
149,4,True,ok,1444.5403458637008,1.3974639657490306,150.0,0.0,2.0125962234328054,0.004171217183871687,58.0,0.0,3009.3391733137464
149,5,True,ok,1444.667029368028,1.220680150955275,150.0,0.0,2.0115308420587175,0.00331833282558742,58.0,0.0,3000.009774463467
149,6,True,ok,1443.0926007873086,6.586313050149277,150.0,0.0,2.0230744693258553,0.017194363939727224,58.0,0.0,3123.8074043483916
149,7,True,ok,1445.7355342526453,14.3762174873658,150.0,0.0,2.0053117297373984,0.036286809802274715,58.0,0.0,2955.281069310638
149,8,True,ok,1448.1970506299908,20.529799686497725,150.0,0.0,1.989755014050827,0.05081026799044661,58.0,0.0,2908.070504607182
150,2,True,ok,878.0,inf,151.0,0.0,2.0110577824135243,inf,58.0,0.0,2992.4771164965578
150,3,True,ok,877.6852922213692,1.3354030503956233,151.0,0.0,2.0203629446511546,0.007938678678562272,58.0,0.0,3064.503811963385
150,4,True,ok,877.9617675011069,1.3521467881793334,151.0,0.0,2.0154744656596644,0.006652168828587144,58.0,0.0,3025.5242652228935
150,5,True,ok,876.0413203007305,7.056546099708852,151.0,0.0,2.0421931825799464,0.03215627184783678,58.0,0.0,3277.198987912109
150,6,True,ok,879.6182953331717,16.115049761649065,151.0,0.0,1.9988419211087018,0.06822145216062968,58.0,0.0,2922.0902069143103
150,7,True,ok,882.796249766344,22.277436871771243,151.0,0.0,1.9638096627633355,0.09040299727066294,58.0,0.0,2831.9518018021586
151,2,True,ok,534.0,inf,152.0,0.0,2.0390034108849973,inf,58.0,0.0,3192.8389887758367
151,3,True,ok,534.4578498494249,1.9453642036454313,152.0,0.0,2.016530148873446,0.01894045826681171,58.0,0.0,3031.650841677152
151,4,True,ok,532.2464760855624,7.791873987549631,152.0,0.0,2.081488821608339,0.06581673620468576,58.0,0.0,3555.23662887005
151,5,True,ok,536.923037472107,18.59287919479599,152.0,0.0,1.9736956843177984,0.13326134927263528,58.0,0.0,2811.2821851129574
151,6,True,ok,540.7001274131211,24.30101833787625,152.0,0.0,1.8995569907187866,0.15950647404610135,58.0,0.0,2655.572302907533
152,2,True,ok,327.0,inf,153.0,0.0,1.9733345583907096,inf,58.0,0.0,2823.6266283490813
152,3,True,ok,324.60318695302726,9.707169708565935,153.0,0.0,2.1667436927649892,0.17262093365605197,58.0,0.0,4068.320577290291
152,4,True,ok,330.3256971634141,22.324368841223773,153.0,0.0,1.8888588471324088,0.26997227207028324,58.0,0.0,2507.8443685172406
